,practica,meta,cumple.diag,cumple.seg
1,Adecuar CABLEADOS EN MAL ESTADO en el Beneficio Humedo,0.081021088,0.775249723,0.817980022
2,Adecuar ESCALERAS SIN PROTECCIÓN en el Beneficio Humedo,0.214206437,0.40954495,0.605993341
3,Adecuar o construir un lugar para compostar y usar adecuadamente la pulpa de café.,0.273584906,0.248612653,0.418978912
4,Adecuar o construir un lugar para la disposición de residuos de agroquímicos y productos orgánicos biológicos de la finca.,0.039955605,0.826859046,0.953385128
5,Adecuar PISOS HÚMEDOS en el Beneficio Humedo,0.068812431,0.724195339,0.870144284
6,Adecuar POLEAS Y RODAMIENTOS SIN GUARDAS en el Beneficio Humedo,0.195893452,0.431742508,0.502219756
7,Adecuar TOLVA SIN PROTECCIÓN en el Beneficio Humedo,0.089900111,0.667591565,0.79800222
8,Adecuar ZONAS DE ALTO CALOR en el Beneficio Humedo,0.027746948,0.90399556,0.91509434
9,Capacitar a todos los trabajadores en el uso correcto de los equipos de protección para la manipulación de agroquímicos y venenos.,0.06936737,0.752497225,0.872918979
10,Construir o adecuar BARANDAS EN MAL ESTADO en el Beneficio Humedo,0.071587125,0.804661487,0.795227525
11,Construir una BODEGA PARA ALMACENAMIENTO seguro de Agroquímicos y Venenos.,0.089900111,0.709766926,0.899556049
12,Dotar a los trabajadores con BOTAS PLÁSTICAS,0.143174251,0.493340733,0.770810211
13,Dotar a los trabajadores con CARETA,0.155382908,0.441176471,0.640954495
14,Dotar a los trabajadores con GAFAS,0.15982242,0.381243063,0.65982242
15,Dotar a los trabajadores con GUANTES,0.166481687,0.416759156,0.651498335
16,Dotar a los trabajadores con OVEROL,0.162597114,0.375693674,0.597669256
17,Dotar la finca con DUCHA para los trabajadores,0.104328524,0.124306326,0.306881243
18,Dotar la finca de BOTIQUÍN DE PRIMEROS AUXILIOS,0.129855716,0.62208657,0.837957825
19,Dotar la finca de EXTINTOR MULTIUSOS,0.167591565,0.527746948,0.731964484
20,Establecer POLÍTICAS DE EMPLEO de menores de edad y mujeres embarazadas en la finca.,0.278579356,0.022752497,0.002774695
21,Fertilizar el cultivo de café no menos de 3 veces en el año y basado en los análisis de suelos.,0.285793563,0.418978912,0.608213097
22,Hacer el MONITOREO de plagas y enfermedades en los cultivos de café de la finca.,0.342952275,0.389012209,0.746947836
23,Hacer MANTENIMIENTO o REPARACIÓN o CAMBIO a la secadora mecánica.,0.072142064,0.640954495,0.500554939
24,Hacer MANTENIMIENTO o REPARACIÓN o CAMBIO a la secadora solar.,0.110432852,0.632075472,0.732519423
25,Hacer MANTENIMIENTO o REPARACIÓN o CAMBIO a los tanques de fermentación.,0.200332963,0.491675916,0.693673696
26,Hacer MANTENIMIENTO o REPARACIÓN o CAMBIO al sistema de lavado de café.,0.175915649,0.484461709,0.69700333
27,Hacer MANTENIMIENTO o REPARACIÓN o CAMBIO de la maquina despulpadora,0.129855716,0.678135405,0.762486127
28,Hacer RENOVACIÓN POR SIEMBRA con distancias entre  surcos de 1 a 2 metros,0.003884573,0.993340733,0.993895671
29,Hacer RENOVACIÓN POR SIEMBRA con distancias entre plantas de 1 a 2 metros,0.00554939,0.981687014,0.984461709
30,Hacer separación de la calidad del café antes de beneficio húmedo,0.09045505,0.44173141,0.513318535
31,Implementar proceso de beneficio de café diario,0.082130966,0.829078801,0.807991121
32,Implementar un Protocolo de Tiempos de Fermentación de acuerdo a los tiempos óptimos de su zona.,0.103218646,0.729744728,0.937846837
33,Instalar un sistema completo y adecuado para el Tratamiento de Aguas Mieles de Beneficio (SMTA).,0.163706992,0.064927858,0.155382908
34,Llevar registros COMPRAS de insumos y herramientas,0.269700333,0.296892342,0.501664817
35,Llevar registros de APLICACIONES de agroquímicos,0.306326304,0.251942286,0.580466149
36,Llevar registros de FLORACIÓN,0.435072142,0.262486127,0.741398446
37,Llevar registros de LABORES y RECOLECCIÓN,0.274694784,0.389012209,0.602108768
38,Llevar registros de VENTAS DE CAFÉ,0.302441731,0.379578246,0.67536071
39,Maquina despulpadora o motor con capacidad suficiente.,0.051054384,0.836847947,0.935072142
40,No contratar menores de 18 años para realizar las labores de la finca.,0.008324084,0.975027747,0.998890122
41,Prohibir el uso de Envases de Agroquímicos para el almacenamiento y transporte de alimentos o bebidas.,0.017758047,0.96281909,0.993340733
42,Realizar análisis de suelos de la finca,0.584350721,0.183684795,0.476692564
43,"Realizar el TRIPLE LAVADO, PERFORACIÓN Y DISPOSICIÓN adecuada de los envases de Agroquímicos (Campo Limpio)",0.103773585,0.735294118,0.859045505
44,Realizar la fertilización del café basado en los análisis de suelo.,0.491120977,0.228079911,0.447280799
45,Realizar protocolo de ASEO a la maquina despulpadora.,0.442286349,0.34572697,0.699223085
46,Realizar protocolo de ASEO a los tanques de fermentación.,0.395116537,0.332408435,0.698113208
47,Realizar protocolo de ASEO y MANTENIMIENTO al sistema de lavado de café.,0.427857936,0.274694784,0.689789123
48,Sembrar zonas de amortiguamiento en todas las fuentes de agua de la finca.,0.161487236,0.375138735,0.612652608
49,Tanques de fermentación con capacidad suficiente,0.07991121,0.704772475,0.865149834
50,Usar correctamente los equipos de protección para la manipulación de agroquímicos y venenos.,0.201442841,0.405660377,0.610987791
